day	time	size	price	sign
1	34200.004	23	23.54	-1
1	34200.004	20	23.54	-1
1	34200.34	80	23.49	1
1	34203.957	100	23.52	-1
1	34203.969	63	23.52	-1
1	34204.234	100	23.51	-1
1	34204.234	100	23.51	-1
1	34205.734	171	23.5	1
1	34205.734	29	23.5	1
1	34206.738	200	23.5	1
1	34206.738	200	23.5	1
1	34208.172	100	23.49	-1
1	34208.172	4	23.49	-1
1	34212.07	100	23.49	-1
1	34213.988	100	23.47	-1
1	34213.988	300	23.46	-1
1	34232.883	200	23.48	-1
1	34232.891	7	23.48	-1
1	34252.91	7	23.48	-1
1	34252.91	93	23.48	-1
1	34253.582	100	23.48	-1
1	34254.668	193	23.48	-1
1	34254.668	5	23.48	-1
1	34254.668	700	23.48	-1
1	34254.957	700	23.47	1
1	34254.957	100	23.47	1
1	34254.957	200	23.47	1
1	34254.957	300	23.47	1
1	34254.957	300	23.47	1
1	34254.957	35	23.47	1
1	34254.957	369	23.47	1
1	34254.957	200	23.47	-1
1	34254.957	200	23.47	1
1	34254.957	151	23.47	1
1	34254.957	200	23.47	-1
1	34254.957	49	23.47	-1
1	34254.961	300	23.47	1
1	34255.98	100	23.46	-1
1	34255.984	100	23.46	-1
1	34255.984	100	23.46	1
1	34255.984	100	23.46	1
1	34255.984	100	23.46	1
1	34255.984	200	23.46	1
1	34255.984	200	23.46	1
1	34255.984	500	23.46	1
1	34256.016	100	23.46	1
1	34256.039	100	23.46	1
1	34256.09	100	23.46	1
1	34257.523	100	23.45	-1
1	34257.523	100	23.45	-1
1	34257.523	6	23.45	-1
1	34259.457	200	23.45	1
1	34259.457	300	23.45	1
1	34259.457	600	23.45	1
1	34262.863	100	23.44	-1
1	34262.863	15	23.44	-1
1	34262.863	100	23.45	1
1	34262.863	200	23.45	1
1	34262.867	185	23.44	-1
1	34262.883	100	23.44	-1
1	34262.883	200	23.44	-1
1	34262.883	300	23.44	-1
1	34263.031	200	23.44	1
1	34263.031	500	23.44	1
1	34263.031	100	23.44	1
1	34263.031	1051	23.44	1
1	34263.031	455	23.44	1
1	34263.031	49	23.44	1
1	34263.273	200	23.44	-1
1	34263.59	200	23.45	1
1	34263.59	300	23.45	1
1	34263.633	100	23.45	1
1	34264.219	1211	23.45	1
1	34264.621	59	23.45	1
1	34267.008	100	23.46	1
1	34271.762	100	23.46	1
1	34271.762	100	23.46	1
1	34281.016	100	23.45	-1
1	34281.016	100	23.45	-1
1	34281.016	100	23.45	-1
1	34281.016	100	23.45	-1
1	34281.016	100	23.45	-1
1	34281.078	200	23.46	1
1	34281.566	100	23.45	-1
1	34282.016	100	23.45	-1
1	34282.016	200	23.45	-1
1	34282.02	100	23.45	-1
1	34282.051	100	23.45	-1
1	34282.09	100	23.45	-1
1	34282.645	14	23.45	-1
1	34282.645	86	23.45	-1
1	34286.516	86	23.45	-1
1	34292.652	100	23.44	-1
1	34295.582	100	23.44	-1
1	34295.582	200	23.44	-1
1	34299.313	400	23.43	-1
1	34300.004	100	23.43	-1
1	34300.004	200	23.43	-1
1	34302.82	100	23.42	-1
1	34302.82	300	23.42	-1
1	34304.563	100	23.41	-1
1	34312.098	100	23.41	-1
1	34313.016	100	23.41	-1
1	34314.43	100	23.41	-1
1	34314.43	100	23.41	-1
1	34314.59	100	23.41	-1
1	34314.996	100	23.41	-1
1	34317.484	1000	23.41	1
1	34317.484	100	23.41	1
1	34317.484	100	23.41	1
1	34317.484	200	23.41	1
1	34317.484	200	23.41	1
1	34317.484	200	23.41	1
1	34317.484	300	23.41	1
1	34317.484	400	23.41	1
1	34317.484	500	23.41	1
1	34317.488	100	23.42	1
1	34317.605	100	23.42	1
1	34317.613	100	23.42	1
1	34318.277	100	23.42	-1
1	34320.59	100	23.43	1
1	34320.59	100	23.43	1
1	34320.59	100	23.43	1
1	34320.59	200	23.43	1
1	34320.59	700	23.43	1
1	34323.598	300	23.43	1
1	34323.805	100	23.43	1
1	34323.922	100	23.43	1
1	34324.047	100	23.44	1
1	34324.047	100	23.44	1
1	34324.047	187	23.44	1
1	34324.047	200	23.44	1
1	34324.047	213	23.44	1
1	34324.047	300	23.44	1
1	34324.055	100	23.44	1
1	34324.055	13	23.44	1
1	34330.141	200	23.43	1
1	34330.141	300	23.43	1
1	34330.18	100	23.42	-1
1	34330.684	100	23.42	-1
1	34330.684	100	23.42	-1
1	34330.688	100	23.42	-1
1	34330.688	100	23.42	-1
1	34331.047	100	23.42	-1
1	34332.051	100	23.42	-1
1	34332.801	100	23.43	1
1	34332.98	200	23.43	-1
1	34332.98	200	23.43	-1
1	34332.98	20	23.43	-1
1	34332.984	200	23.43	-1
1	34332.984	100	23.43	-1
1	34332.988	100	23.43	-1
1	34332.992	100	23.43	-1
1	34332.992	100	23.43	-1
1	34332.992	200	23.43	-1
1	34332.992	80	23.43	-1
1	34333.184	100	23.43	1
1	34333.184	100	23.43	1
1	34333.184	100	23.43	1
1	34333.184	100	23.43	1
1	34333.184	200	23.43	1
1	34333.184	3000	23.43	1
1	34333.184	300	23.43	1
1	34333.184	300	23.43	1
1	34333.184	400	23.43	1
1	34333.184	42	23.43	1
1	34333.184	200	23.43	1
1	34333.184	58	23.43	1
1	34333.777	100	23.44	1
1	34333.777	100	23.44	1
1	34334.055	200	23.43	-1
1	34336.055	100	23.42	-1
1	34336.055	100	23.42	-1
1	34336.777	400	23.42	1
1	34336.813	100	23.42	-1
1	34343.027	100	23.42	1
1	34343.027	100	23.42	1
1	34343.027	200	23.42	1
1	34343.027	737	23.42	1
1	34343.031	300	23.43	-1
1	34343.07	100	23.43	-1
1	34343.172	100	23.44	-1
1	34343.418	100	23.44	-1
1	34343.613	100	23.44	-1
1	34344.055	200	23.43	-1
1	34344.055	400	23.43	-1
1	34349.383	100	23.43	1
1	34351.711	100	23.42	-1
1	34351.711	200	23.42	-1
1	34351.746	100	23.42	-1
1	34352.23	100	23.42	-1
1	34353.223	700	23.41	-1
1	34353.223	100	23.41	-1
1	34353.227	37	23.41	-1
1	34353.238	416	23.41	-1
1	34353.238	100	23.41	-1
1	34353.254	100	23.41	-1
1	34353.258	400	23.41	-1
1	34353.258	347	23.41	-1
1	34359.691	300	23.4	-1
1	34359.691	500	23.4	-1
1	34359.691	100	23.4	-1
1	34359.699	100	23.4	-1
1	34360	400	23.4	-1
1	34380.465	200	23.41	1
1	34380.469	13	23.41	1
1	34381.492	100	23.42	1
1	34385.477	100	23.42	1
1	34385.477	300	23.42	1
1	34385.531	100	23.43	1
1	34385.531	100	23.43	1
1	34395.32	100	23.42	-1
1	34395.32	100	23.42	-1
1	34395.32	100	23.42	-1
1	34395.32	100	23.42	-1
1	34395.32	100	23.42	-1
1	34395.324	100	23.41	-1
1	34396.02	100	23.41	-1
1	34399.969	9	23.4	-1
1	34399.969	9	23.39	-1
1	34404.383	100	23.39	1
1	34404.383	400	23.39	1
1	34404.383	400	23.39	1
1	34404.5	100	23.39	1
1	34411.848	100	23.4	1
1	34415.352	200	23.4	1
1	34415.438	100	23.4	1
1	34415.617	300	23.41	1
1	34415.617	400	23.41	1
1	34415.938	100	23.41	-1
1	34415.938	100	23.41	-1
1	34420.617	100	23.41	1
1	34433.504	100	23.41	1
1	34433.563	100	23.41	-1
1	34433.563	44	23.41	-1
1	34441.809	100	23.41	1
1	34460.074	100	23.41	1
1	34461.367	100	23.4	-1
1	34461.371	80	23.4	-1
1	34461.371	20	23.4	-1
1	34467.93	100	23.41	-1
1	34467.93	100	23.41	-1
1	34467.93	100	23.41	-1
1	34468.668	100	23.4	1
1	34472.344	100	23.39	-1
1	34472.344	100	23.39	-1
1	34472.344	300	23.39	-1
1	34472.344	100	23.39	-1
1	34472.344	100	23.39	-1
1	34474.32	100	23.38	-1
1	34474.32	100	23.38	-1
1	34474.32	100	23.38	-1
1	34474.32	300	23.38	-1
1	34488.359	200	23.38	1
1	34488.363	400	23.38	1
1	34501.371	100	23.39	1
1	34501.371	300	23.39	1
1	34501.371	300	23.39	1
1	34501.371	300	23.39	1
1	34501.375	100	23.39	1
1	34501.375	100	23.39	1
1	34501.375	200	23.39	1
1	34501.375	774	23.39	1
1	34501.547	800	23.39	1
1	34507.133	600	23.39	1
1	34514.008	100	23.38	-1
