Date,Open,High,Low,Close
12/15/2021,"778.35","780.44","774.54","775.46"
12/14/2021,"786.61","788.08","775.31","775.75"
12/13/2021,"791.41","796.23","782.47","783.00"
12/10/2021,"786.05","793.73","786.05","788.01"
12/09/2021,"800.23","800.83","790.93","791.91"
12/08/2021,"805.07","809.16","797.72","797.72"
12/07/2021,"789.95","806.13","789.63","805.78"
12/06/2021,"778.23","780.44","770.88","778.43"
12/03/2021,"784.80","785.10","769.14","772.22"
12/02/2021,"779.79","783.75","773.37","778.80"
12/01/2021,"783.84","792.16","779.62","790.70"
11/30/2021,"778.57","786.84","774.31","777.39"
11/29/2021,"791.63","793.76","786.38","787.01"
11/26/2021,"782.27","793.00","779.70","781.63"
11/25/2021,"806.92","808.91","803.78","807.55"
11/24/2021,"804.98","807.29","795.28","802.96"
11/23/2021,"807.50","810.11","801.50","802.24"
11/22/2021,"824.25","825.38","815.34","815.34"
11/19/2021,"825.28","828.00","820.45","821.80"
11/18/2021,"826.22","829.66","823.44","825.06"
11/17/2021,"827.38","829.35","825.82","827.57"
11/16/2021,"825.71","828.01","822.66","826.50"
11/15/2021,"820.92","823.21","817.80","823.21"
11/12/2021,"815.38","820.30","813.06","820.30"
11/11/2021,"812.22","816.35","809.04","816.35"
11/10/2021,"817.08","819.80","808.80","814.63"
11/09/2021,"815.27","818.12","813.10","815.17"
11/08/2021,"818.22","820.88","817.48","817.59"
11/05/2021,"820.15","824.72","819.05","819.72"
11/04/2021,"820.71","822.34","818.04","820.38"
11/03/2021,"811.28","816.07","811.28","816.01"
11/02/2021,"809.21","812.53","808.42","812.29"
11/01/2021,"815.25","815.63","808.30","811.74"
10/29/2021,"804.46","811.53","801.26","810.91"
10/28/2021,"812.81","815.95","810.45","812.23"
10/27/2021,"816.03","818.27","813.92","815.29"
10/26/2021,"813.44","818.31","813.09","816.91"
10/25/2021,"815.52","816.75","812.07","813.02"
10/22/2021,"812.50","816.97","810.92","812.97"
10/21/2021,"801.23","809.68","800.87","807.64"
10/20/2021,"798.73","808.36","798.73","805.47"
10/19/2021,"800.00","803.24","798.37","802.49"
10/18/2021,"797.04","798.48","792.59","796.74"
10/15/2021,"796.64","801.03","792.33","800.41"
10/14/2021,"785.08","791.56","784.00","790.84"
10/13/2021,"769.59","778.91","767.52","777.52"
10/12/2021,"763.89","773.85","763.24","771.47"
10/11/2021,"771.58","775.33","768.22","773.79"
10/08/2021,"777.45","777.50","772.05","772.05"
10/07/2021,"771.18","777.85","767.64","777.18"
10/06/2021,"763.49","764.09","751.06","761.22"
10/05/2021,"758.84","771.61","758.84","771.19"
10/04/2021,"762.26","765.96","756.54","757.20"
10/01/2021,"761.82","771.19","761.82","766.69"
09/30/2021,"782.67","785.18","771.79","771.94"
09/29/2021,"775.68","783.79","774.83","775.84"
09/28/2021,"787.02","788.28","772.45","773.71"
09/27/2021,"798.49","798.67","787.09","788.67"
09/24/2021,"797.76","798.19","790.63","791.45"
09/23/2021,"799.15","803.11","797.93","800.61"
09/22/2021,"790.25","792.95","786.85","792.40"
09/21/2021,"781.98","789.97","781.98","786.31"
09/20/2021,"779.80","781.38","773.24","778.28"
09/17/2021,"803.67","804.47","788.03","789.49"
09/16/2021,"797.10","800.41","796.72","798.15"
09/15/2021,"798.76","800.34","794.10","794.19"
09/14/2021,"792.65","798.04","789.57","797.71"
09/13/2021,"789.49","794.88","789.49","791.45"
09/10/2021,"790.29","794.06","786.84","788.49"
09/09/2021,"785.11","791.18","782.21","787.17"
09/08/2021,"789.83","791.92","784.35","789.00"
09/07/2021,"798.05","799.51","793.64","794.73"
09/06/2021,"792.79","799.56","792.79","798.55"
09/03/2021,"793.23","794.10","784.81","789.55"
09/02/2021,"789.11","793.76","787.63","793.32"
09/01/2021,"793.39","793.91","787.75","790.00"
08/31/2021,"791.27","792.54","784.90","787.62"
08/30/2021,"788.32","790.23","787.88","789.14"
08/27/2021,"780.41","787.33","779.85","787.04"
08/26/2021,"778.19","781.94","776.19","780.31"
08/25/2021,"783.56","785.46","781.24","781.93"
08/24/2021,"785.02","785.61","780.55","783.15"
08/23/2021,"777.14","780.86","773.24","780.28"
08/20/2021,"766.09","772.92","763.34","771.41"
08/19/2021,"761.22","766.27","755.33","765.83"
08/18/2021,"770.98","773.01","768.90","771.48"
08/17/2021,"766.93","772.08","764.65","770.79"
08/16/2021,"769.64","772.49","767.14","769.78"
08/13/2021,"773.85","775.50","771.94","774.83"
08/12/2021,"775.16","778.96","773.95","775.24"
08/11/2021,"776.60","778.73","774.18","775.84"
08/10/2021,"773.54","777.26","773.20","775.12"
08/09/2021,"766.70","772.93","766.70","771.80"
08/06/2021,"768.03","769.51","766.87","767.82"
08/05/2021,"763.86","771.56","763.86","768.23"
08/04/2021,"763.66","767.39","763.06","766.24"
08/03/2021,"755.81","760.75","754.46","760.08"
08/02/2021,"760.48","762.19","754.87","758.22"
07/30/2021,"752.16","759.35","751.37","754.31"
07/29/2021,"750.96","758.58","750.91","758.08"
07/28/2021,"739.19","747.82","738.56","747.66"
07/27/2021,"740.72","741.94","735.67","737.24"
07/26/2021,"744.36","746.64","742.52","745.10"
07/23/2021,"741.61","749.78","739.58","749.42"
07/22/2021,"735.88","741.13","734.97","739.03"
07/21/2021,"728.24","735.11","728.23","733.74"
07/20/2021,"723.53","727.84","716.98","722.03"
07/19/2021,"729.62","729.80","716.23","721.09"
07/16/2021,"740.37","740.56","734.19","736.52"
07/15/2021,"741.09","744.53","738.20","739.42"
07/14/2021,"740.96","747.35","740.85","744.95"
07/13/2021,"741.22","742.86","738.94","742.86"
07/12/2021,"731.92","739.40","730.19","738.44"
07/09/2021,"726.94","732.15","725.53","732.15"
07/08/2021,"732.60","733.01","718.21","723.11"
07/07/2021,"733.99","737.95","733.70","737.64"
07/06/2021,"733.25","735.80","729.19","731.48"
07/05/2021,"732.17","735.30","730.00","733.99"
07/02/2021,"734.08","736.35","731.79","733.55"
07/01/2021,"734.71","738.10","726.22","731.33"
06/30/2021,"734.50","735.63","726.85","729.52"
06/29/2021,"731.47","736.33","731.14","734.19"
06/28/2021,"730.41","734.69","729.09","730.86"
06/25/2021,"734.01","734.92","731.29","733.14"
06/24/2021,"728.08","733.74","727.03","732.70"
06/23/2021,"731.57","732.18","725.05","725.05"
06/22/2021,"724.35","729.76","721.87","728.59"
06/21/2021,"715.16","724.25","713.94","723.77"
06/18/2021,"733.17","735.63","717.81","719.63"
06/17/2021,"728.75","736.07","728.47","734.89"
06/16/2021,"732.68","734.87","731.12","733.50"
06/15/2021,"733.97","734.64","730.85","730.98"
06/14/2021,"730.98","734.64","728.40","730.10"
06/11/2021,"726.70","729.00","724.99","728.48"
06/10/2021,"723.66","727.14","721.43","725.45"
06/09/2021,"719.89","723.25","718.70","722.71"
06/08/2021,"719.31","723.04","718.00","719.43"
06/07/2021,"719.87","721.31","716.08","718.61"
06/04/2021,"717.15","720.88","716.09","720.18"
06/03/2021,"718.24","718.38","712.42","717.08"
06/02/2021,"715.93","719.05","715.56","718.93"
06/01/2021,"712.81","722.07","712.81","715.94"
05/31/2021,"712.54","714.57","709.02","709.36"
05/28/2021,"709.41","715.32","709.41","713.28"
05/27/2021,"708.88","711.35","706.14","708.36"
05/26/2021,"714.32","715.52","710.09","711.17"
05/25/2021,"713.79","715.74","712.25","712.25"
05/24/2021,"707.91","710.66","706.07","710.46"
05/21/2021,"705.77","710.01","702.92","706.96"
05/20/2021,"697.40","704.29","693.22","704.09"
05/19/2021,"697.34","697.83","685.97","693.72"
05/18/2021,"709.40","710.15","704.93","705.01"
05/17/2021,"704.82","705.83","699.79","703.22"
05/14/2021,"700.29","703.33","695.65","703.33"
05/13/2021,"686.86","696.53","677.88","694.22"
05/12/2021,"696.51","698.99","692.53","694.76"
05/11/2021,"700.61","702.08","689.51","695.94"
05/10/2021,"718.48","718.48","710.83","711.91"
05/07/2021,"717.32","719.29","712.50","718.41"
05/06/2021,"714.59","715.92","707.58","712.46"
05/05/2021,"703.78","714.42","702.92","714.14"
05/04/2021,"714.02","714.25","695.71","696.98"
05/03/2021,"709.93","713.11","705.99","712.13"
04/30/2021,"710.58","711.82","705.87","707.56"
04/29/2021,"715.78","719.26","709.97","710.47"
