day	time	size	price	sign
1	34203.625	49	347.32	-1
1	34203.695	3	348.72	1
1	34204.609	45	347.32	-1
1	34221.16	100	347.5	-1
1	34223.988	10	347.31	-1
1	34223.988	3	347.32	-1
1	34223.988	6	347.32	-1
1	34223.988	75	347.3	-1
1	34223.988	87	347.3	-1
1	34229.91	13	347.34	-1
1	34229.91	9	347.29	-1
1	34245.371	24	348.44	1
1	34263.094	16	347.31	-1
1	34263.094	20	347.34	-1
1	34268.02	36	347.35	-1
1	34286.43	23	347.94	1
1	34286.43	2	347.63	1
1	34286.43	75	347.61	1
1	34300.398	100	347.635	1
1	34301.246	5	347.49	1
1	34301.262	6	347.3	-1
1	34301.547	100	347.3	-1
1	34301.547	94	347.3	-1
1	34301.547	95	347.3	-1
1	34301.547	100	347.3	-1
1	34301.547	100	347.3	-1
1	34301.547	5	347.3	-1
1	34301.547	49	347.3	-1
1	34301.547	51	347.3	-1
1	34301.707	100	346.49	-1
1	34309.066	1	346.38	-1
1	34311.793	51	346.38	-1
1	34359.793	5	345.85	-1
1	34371.973	30	345.56	-1
1	34375.867	95	346.16	1
1	34404.34	63	345.86	-1
1	34411.785	100	346.66	1
1	34415.434	82	345.86	-1
1	34419.898	24	346.69	1
1	34437.539	45	345.51	-1
1	34485.156	49	346.54	1
1	34485.156	82	346.48	1
1	34505.242	11	346.5	1
1	34505.242	36	346.5	1
1	34505.242	53	346.52	1
1	34505.441	25	346.52	1
1	34505.441	75	346.51	1
1	34508.191	22	346.52	1
1	34511.902	78	346.52	1
1	34511.922	22	346.52	1
1	34511.926	100	346.53	1
1	34511.926	95	346.54	1
1	34511.945	6	346.55	1
1	34511.949	2	346.55	1
1	34511.949	75	346.55	1
1	34511.973	17	346.55	1
1	34512.75	198	347.22	1
1	34512.75	2	347.21	1
1	34544.941	1	347.23	1
1	34549.488	11	347.23	1
1	34551.73	7	347.28	1
1	34554.402	11	347.02	-1
1	34566.352	100	347.63	1
1	34570.406	20	347.86	1
1	34570.406	5	347.71	1
1	34570.406	75	347.9	1
1	34577.648	1	347.97	1
1	34578.484	70	347.97	1
1	34578.484	32	347.97	1
1	34578.484	29	347.97	1
1	34578.484	4	347.76	1
1	34582.469	5	348.5	1
1	34582.469	95	348.5	1
1	34582.477	20	348.51	1
1	34582.477	80	348.55	1
1	34603.914	12	348.3	-1
1	34603.914	5	348.32	-1
1	34603.914	83	348.32	-1
1	34607.82	71	348.4	-1
1	34608.328	11	348.25	-1
1	34608.328	82	348	-1
1	34616.152	100	348.55	1
1	34620.262	100	348.56	1
1	34620.262	100	348.56	1
1	34620.805	43	348.75	1
1	34620.805	57	348.84	1
1	34654.285	100	348.89	1
1	34658.957	23	348.97	1
1	34658.957	37	348.97	1
1	34695.199	100	348.99	1
1	34697.059	23	348.19	-1
1	34743.254	100	348.88	1
1	34785.91	100	348.84	1
1	34785.91	100	348.85	1
1	34791.828	15	349	1
1	34791.828	29	349.1	1
1	34791.828	45	349	1
1	34796.219	200	349.1	1
1	34796.25	70	349.1	1
1	34796.285	7	349.02	-1
1	34796.363	100	349.1	1
1	34796.586	100	349.1	1
1	34796.59	1	349.1	1
1	34800.742	25	349.5	1
1	34801.031	100	349.68	1
1	34801.781	10	349.7	-1
1	34909.234	100	349.79	1
1	34909.84	100	349.85	1
1	34940.777	6	349.93	1
1	35024.773	1	349.78	1
1	35024.773	79	349.79	1
1	35024.789	4	349.8	1
1	35024.793	30	349.8	1
1	35024.793	46	349.8	1
1	35072.199	17	349.82	1
1	35072.199	83	349.87	1
1	35081.52	17	349.87	1
1	35081.52	20	349.95	1
1	35081.52	30	349.93	1
1	35081.52	30	349.94	1
1	35081.52	10	349.95	1
1	35081.527	100	349.96	1
1	35116.918	1	349.77	1
1	35116.918	98	349.77	1
1	35121.676	1	349.76	1
1	35121.676	1	349.95	1
1	35121.676	97	349.99	1
1	35144.219	2	349.9	1
1	35144.219	50	349.9	1
1	35144.227	10	349.98	1
1	35144.227	22	349.98	1
1	35144.227	78	349.98	1
1	35144.719	32	349.88	1
1	35144.719	68	349.88	1
1	35144.723	32	349.88	1
1	35144.727	32	349.89	1
1	35145.07	32	349.92	1
1	35145.656	32	349.99	1
1	35145.656	68	349.99	1
1	35145.656	32	349.99	1
1	35145.656	32	349.99	1
1	35145.66	1	350	1
1	35145.66	30	350	1
1	35145.66	5	350	1
1	35145.66	4	349.9	1
1	35145.66	92	349.9	1
1	35170.367	32	349.9	1
1	35170.367	59	349.98	1
1	35173.953	43	349.795	1
1	35173.953	2	349.98	1
1	35173.953	41	349.98	1
1	35173.953	57	349.795	1
1	35173.957	100	349.99	1
1	35179.805	100	349.83	1
1	35181.023	430	350	1
1	35181.023	70	350	1
1	35181.082	262	350	1
1	35181.082	50	350	1
1	35181.082	5	350	1
1	35181.082	5	350	1
1	35181.082	70	350	1
1	35181.082	8	350	1
1	35181.082	1	350	1
1	35181.082	42	350	1
1	35181.086	100	350.04	1
1	35181.09	10	350.06	1
1	35181.352	20	350.06	1
1	35181.379	5	350.39	1
1	35181.977	95	350.39	1
1	35181.977	5	350.42	-1
1	35201.539	88	350.39	1
1	35211.492	6	350.56	1
1	35211.492	15	350.64	1
1	35211.492	15	350.65	1
1	35211.492	15	350.66	1
1	35211.492	32	350.7	1
1	35211.492	11	350.71	1
1	35212.055	100	350.85	-1
1	35212.055	15	350.83	-1
1	35212.055	80	350.83	-1
1	35212.055	71	350.83	-1
1	35228.988	100	350.9	1
1	35228.988	100	350.92	1
1	35264.398	98	350.59	-1
1	35303.816	100	350.89	1
1	35310.254	100	350.89	1
1	35310.254	100	350.89	1
1	35310.254	14	350.97	1
1	35310.254	15	350.96	1
1	35310.254	15	350.97	1
1	35310.254	7	350.97	1
1	35310.254	15	350.98	1
1	35310.254	100	350.89	-1
1	35310.277	10	351	1
1	35310.277	9	351.01	1
1	35310.277	5	351.01	1
1	35310.277	100	351.01	1
1	35310.305	71	351.01	1
1	35310.305	115	351.01	1
1	35310.316	100	351.01	-1
1	35312.023	2	351.21	1
1	35312.023	98	351.19	1
1	35316.227	2	351.02	-1
1	35316.91	100	351.01	-1
1	35316.914	10	350.85	-1
1	35316.914	10	350.84	-1
1	35316.914	10	350.83	-1
1	35316.914	22	350.79	-1
1	35316.914	2	350.81	-1
1	35348.617	50	350.81	1
1	35384.625	15	350.78	-1
1	35393.902	1	350.74	-1
1	35393.902	1	350.73	-1
1	35393.902	39	350.73	-1
1	35393.902	39	350.73	-1
1	35393.902	61	350.73	-1
1	35393.902	61	350.73	-1
1	35393.906	100	350.72	-1
1	35393.906	9	350.63	-1
1	35393.91	1	350.63	-1
1	35407.59	100	350.5	-1
1	35407.59	100	350.53	-1
1	35411.996	22	350.43	-1
1	35411.996	78	350.46	-1
1	35411.996	100	350.42	-1
1	35456.102	1	350.64	1
1	35456.102	49	350.64	1
1	35456.168	100	350.65	1
1	35457.191	100	350.68	1
1	35457.191	19	350.7	1
1	35467.984	8	350.9	1
1	35467.984	9	350.9	1
1	35578.219	1	350.82	-1
1	35578.219	1	350.82	-1
1	35578.219	98	350.82	-1
1	35578.219	2	350.82	-1
1	35579.246	7	350.82	1
1	35579.246	14	350.82	1
1	35579.246	14	350.82	1
1	35579.246	15	350.82	1
1	35579.25	19	350.82	1
1	35579.25	19	350.82	1
1	35579.25	193	350.82	1
1	35579.586	100	350.75	-1
1	35579.59	200	350.71	-1
1	35579.59	300	350.71	-1
1	35631.02	23	350.51	-1
1	35657.16	1	350.47	-1
1	35657.516	1	350.46	-1
1	35716.984	2	350.47	-1
1	35730.797	19	350.66	1
1	35758.789	1	350.46	-1
1	35758.789	13	350.45	-1
1	35758.789	300	350.45	-1
1	35758.789	85	350.45	-1
1	35758.793	187	350.45	-1
1	35758.793	11	350.38	-1
1	35758.801	13	350.35	-1
1	35758.805	6	350.22	-1
1	35758.824	24	350.2	-1
1	35758.824	24	350.21	-1
1	35758.824	21	350.19	-1
1	35758.824	21	350.18	-1
1	35758.828	100	350.4	1
1	35758.832	100	350.19	-1
1	35759.004	10	350.19	1
1	35760.238	10	350.01	-1
1	35765.715	100	350.27	1
1	35780.777	100	350.01	-1
1	35780.777	100	350.14	1
1	35853.98	17	350.31	1
1	35853.98	2	350.3	1
