day	time	size	price	sign
1	34200.316	17	79.94	-1
1	34201.742	100	80.15	1
1	34201.742	28	80.16	1
1	34201.742	42	80.16	1
1	34206.02	100	80.13	1
1	34208.363	100	80.14	1
1	34208.363	100	80.14	-1
1	34208.863	100	80.17	1
1	34209.387	100	80.22	1
1	34209.852	100	80.22	1
1	34209.855	100	80.22	-1
1	34209.859	100	80.27	1
1	34209.973	100	80.22	-1
1	34212.004	100	80.31	1
1	34212.004	60	80.36	1
1	34228.18	20	80.32	-1
1	34236.012	100	80.34	1
1	34236.016	100	80.36	1
1	34239.047	100	80.36	1
1	34241.852	100	80.36	1
1	34241.852	40	80.36	1
1	34243.391	15	80.33	-1
1	34247.137	60	80.36	1
1	34247.238	3	80.47	1
1	34267.141	100	80.43	1
1	34267.152	100	80.43	-1
1	34269.016	2	80.47	1
1	34282.277	88	80.47	1
1	34282.371	100	80.46	-1
1	34282.371	200	80.46	-1
1	34282.387	100	80.46	-1
1	34282.402	5	80.49	1
1	34282.402	95	80.49	1
1	34282.406	22	80.49	1
1	34282.406	27	80.5	1
1	34282.406	73	80.49	1
1	34295.797	100	80.51	1
1	34295.871	100	80.51	1
1	34297.27	100	80.51	1
1	34303.152	9	80.5	1
1	34317.477	100	80.5	1
1	34317.477	91	80.5	1
1	34321.031	100	80.5	1
1	34324.484	100	80.51	1
1	34324.484	37	80.51	1
1	34324.484	463	80.51	1
1	34324.484	3	80.51	1
1	34324.484	60	80.51	1
1	34324.492	100	80.52	1
1	34342.52	115	80.5	-1
1	34342.52	200	80.5	-1
1	34342.52	200	80.51	-1
1	34342.52	85	80.5	-1
1	34342.52	100	80.5	-1
1	34342.52	100	80.5	-1
1	34342.52	15	80.5	-1
1	34342.52	85	80.5	-1
1	34342.52	85	80.5	-1
1	34342.551	100	80.49	-1
1	34342.551	70	80.49	-1
1	34342.555	20	80.49	-1
1	34342.555	30	80.49	-1
1	34345.031	100	80.45	-1
1	34345.031	400	80.45	-1
1	34345.191	100	80.45	-1
1	34345.324	10	80.34	-1
1	34394.504	100	80.32	-1
1	34402.391	100	80.32	-1
1	34413.836	100	80.32	-1
1	34413.836	100	80.32	-1
1	34413.84	100	80.32	-1
1	34417.777	100	80.32	-1
1	34417.777	100	80.32	-1
1	34417.777	100	80.32	-1
1	34417.777	100	80.32	-1
1	34418.461	100	80.27	1
1	34418.461	100	80.27	1
1	34422.191	100	80.27	1
1	34422.238	16	80.33	1
1	34428.211	100	80.28	-1
1	34428.211	100	80.28	-1
1	34433.465	100	80.28	-1
1	34441.23	100	80.28	-1
1	34466.504	72	80.3	-1
1	34472.641	28	80.3	-1
1	34484.578	100	80.31	1
1	34484.578	9	80.31	1
1	34501.793	70	80.33	1
1	34501.797	100	80.33	1
1	34501.797	30	80.33	1
1	34509.523	100	80.33	1
1	34538.719	100	80.38	-1
1	34568.047	100	80.39	1
1	34572.199	100	80.39	1
1	34573.266	100	80.4	1
1	34576.191	100	80.41	1
1	34577.18	100	80.41	1
1	34577.18	20	80.41	1
1	34577.18	10	80.41	1
1	34577.184	10	80.41	1
1	34577.203	3	80.42	1
1	34577.203	97	80.42	1
1	34577.203	10	80.42	1
1	34579.465	100	80.41	-1
1	34579.508	100	80.41	-1
1	34579.508	100	80.41	-1
1	34579.508	100	80.38	-1
1	34586.145	32	80.4	1
1	34587.383	100	80.37	-1
1	34599.07	100	80.4	1
1	34599.07	32	80.4	1
1	34599.07	68	80.4	1
1	34599.07	32	80.4	1
1	34599.07	68	80.4	1
1	34599.07	61	80.4	1
1	34599.07	100	80.41	1
1	34599.086	100	80.43	1
1	34599.094	100	80.41	1
1	34615.738	100	80.4	-1
1	34615.738	100	80.4	-1
1	34615.902	100	80.36	-1
1	34621.219	100	80.35	-1
1	34626.172	90	80.37	1
1	34626.172	10	80.37	1
1	34626.172	90	80.37	1
1	34626.172	10	80.37	1
1	34632.367	100	80.37	1
1	34632.367	90	80.37	1
1	34632.395	100	80.37	1
1	34632.488	100	80.36	-1
1	34634.418	400	80.35	1
1	34634.438	100	80.37	1
1	34634.441	100	80.36	-1
1	34644.418	100	80.36	-1
1	34644.418	100	80.36	-1
1	34644.496	10	80.34	-1
1	34644.543	200	80.34	-1
1	34646.98	200	80.34	-1
1	34647.004	56	80.34	-1
1	34650.25	34	80.34	-1
1	34670.066	93	80.37	1
1	34670.078	100	80.36	-1
1	34670.098	28	80.35	-1
1	34670.098	72	80.35	1
1	34714.406	100	80.38	1
1	34714.934	22	80.36	-1
1	34731.875	7	80.36	-1
1	34731.891	5	80.36	-1
1	34738.102	100	80.38	1
1	34740.102	40	80.37	-1
1	34741.363	100	80.36	-1
1	34741.363	12	80.36	-1
1	34741.363	88	80.36	-1
1	34741.367	10	80.36	-1
1	34741.367	10	80.36	-1
1	34741.367	10	80.36	-1
1	34741.367	100	80.35	-1
1	34741.367	18	80.36	-1
1	34776.625	100	80.34	-1
1	34776.625	100	80.34	-1
1	34781.504	100	80.35	1
1	34781.504	100	80.35	1
1	34781.531	100	80.35	1
1	34781.531	28	80.35	1
1	34781.531	72	80.35	1
1	34781.531	93	80.36	1
1	34795.41	100	80.35	-1
1	34825.93	26	80.35	1
1	34825.93	74	80.35	1
1	34829.434	51	80.35	1
1	34829.434	49	80.36	1
1	34829.434	49	80.36	1
1	34850.398	27	80.36	1
1	34850.605	22	80.38	1
1	34852.594	100	80.38	1
1	34852.598	100	80.38	1
1	34852.602	200	80.38	1
1	34858.395	100	80.36	-1
1	34858.395	100	80.37	1
1	34860.52	28	80.38	1
1	34860.52	72	80.38	1
1	34862.934	28	80.38	1
1	34862.934	72	80.38	1
1	34868.457	20	80.38	1
1	34876.34	100	80.37	-1
1	34877.871	160	80.37	-1
1	34877.871	200	80.36	-1
1	34878	100	80.35	-1
1	34878	40	80.36	-1
1	34878	60	80.35	-1
1	34878.008	40	80.35	-1
1	34884.535	100	80.32	1
1	34939.465	90	80.34	-1
1	34939.895	90	80.33	-1
1	34939.922	200	80.32	-1
1	34942.117	10	80.32	-1
1	34943.352	190	80.3	-1
1	34989.449	50	80.33	1
